id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1107081197390538500,Apartamento en valencia centro 2,565838630,Heidy,EXTRAMURS,LA ROQUETA,39.46690559729548,-0.37853680551052094,Entire home/apt,82,2,9,2024-06-21,2.81,3,78,9,NA
965624258527427700,"The city of Science, Oceanographic, beach, Wifi",25589063,Host,CAMINS AL GRAU,LA CREU DEL GRAU,39.4594026,-0.3411716,Entire home/apt,120,2,8,2024-06-12,3.43,1,173,8,NA
1020352137537651e3,Central Market Cool loft,23176846,M.P,CIUTAT VELLA,EL MERCAT,39.47365348510104,-0.3770314157009125,Entire home/apt,110,2,10,2024-06-02,1.38,4,177,10,NA
1104876233944084600,Modern self-contained loft near city center (B),49269897,Judith Paola,JESUS,LA RAIOSA,39.4573464,-0.3885391,Entire home/apt,89,2,10,2024-06-03,3.57,3,228,10,VT-54628-V
1112126483006653300,The Blue Boutique + patio,169138674,Andres&Sulai,CIUTAT VELLA,LA SEU,39.47543146654947,-0.3769506141543389,Entire home/apt,119,3,9,2024-06-22,3,2,225,9,NA
48823559,Central & Bright in the old town- Monthly Rental,392955565,Christine And Matt,CIUTAT VELLA,EL PILAR,39.47450052749582,-0.3830344832150038,Entire home/apt,109,1,9,2024-06-08,0.71,1,140,8,NA
881149833699424400,Fantástico Apartamento con Vistas para Temporada.,23071733,Joan,CAMINS AL GRAU,PENYA-ROJA,39.45554167129202,-0.3428793277829488,Entire home/apt,86,21,9,2024-06-03,0.69,10,84,8,NA
1113153177735297300,Acogedor apartamento en Valencia,454277603,Cecilia,BENICALAP,BENICALAP,39.4899934062468,-0.3837506129322292,Entire home/apt,81,1,8,2024-06-17,3.64,4,52,8,NA
978840558240073900,- Cabanyal Boutique,12055632,Isidro,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47436287342036,-0.3276613523716422,Entire home/apt,325,2,9,2024-06-05,1.89,4,132,9,VT51905V
967251507632445700,"Architektenhaus mit Dachterrasse - strandnah, hell",534131810,Martin,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47396481157597,-0.32884748301525546,Entire home/apt,127,4,10,2024-06-10,1.17,1,295,10,NA
8.2873476054637594e+17,Historic Downtown Valencia place-Monthly rental,501467897,Romina,CIUTAT VELLA,EL PILAR,39.472197945684485,-0.3833734446411506,Entire home/apt,65,28,10,2024-06-16,0.85,1,137,10,NA
910135856084712800,3-bedrooms Apartment near CityofArts &Oceanografic,501837131,Lyubov,CAMINS AL GRAU,LA CREU DEL GRAU,39.46097702054782,-0.3453978281028376,Entire home/apt,116,5,10,2024-06-03,0.8,12,70,8,NA
977533424267678e3,Apartamento primera línea de mar,406155489,Joaquín,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.470768,-0.325019,Entire home/apt,250,2,8,2024-06-21,2.2,1,193,8,NA
973696597446364900,Apartamentos Las Ciencias A. Wi-Fi + PK + A/C,14182776,Alberto,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.457162406041505,-0.3582821655719748,Entire home/apt,201,1,10,2024-06-04,1.05,70,239,10,VT-53182-V
1132732950043237e3,Mar y Confort Doble Baño,232356580,Cong,ALGIROS,L'ILLA PERDUDA,39.47014904024412,-0.34143413931081273,Entire home/apt,94,1,10,2024-06-03,4.35,14,96,10,NA
1051416640778387100,GuestReady - Relaxing home in Valencia's Old Town,551995610,GuestReady,CIUTAT VELLA,LA SEU,39.47774144184611,-0.3740564425418634,Entire home/apt,125,1,9,2024-06-07,1.56,1,227,9,NA
